#format table ## [Custom WaveView] saved 13:55:57 Tue Aug 26 2025
TIME State_(-) Decayrate_(Ohm/ns) Growrate_(Ohm/ns) Rdyn_(Ohm) Ldyn_(H) Iwire_(A) Temp_(K) Output_pulse_(V) 
 8.000E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.840E-10  1.520E-05  2.000E+00 -9.831E-06 
 8.046E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.840E-10  1.520E-05  2.000E+00 -9.940E-06 
 8.127E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.840E-10  1.520E-05  2.000E+00 -1.012E-05 
 8.357E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.841E-10  1.521E-05  2.000E+00 -1.060E-05 
 8.676E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.842E-10  1.522E-05  2.000E+00 -1.114E-05 
 9.214E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.843E-10  1.524E-05  2.000E+00 -1.181E-05 
 9.766E-09  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.226E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  0.000E+00  0.000E+00  0.000E+00  1.000E-06  5.844E-10  1.525E-05  2.000E+00 -1.239E-05 
 1.000E-08  1.000E+00 -5.285E-18  1.300E+04  2.130E-01  5.844E-10  1.525E-05  2.010E+00 -1.239E-05 
 1.000E-08  1.000E+00 -2.776E-17  1.300E+04  3.430E-01  5.844E-10  1.525E-05  2.016E+00 -1.239E-05 
